locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8235,"Jahangirpuri, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,537,µg/m³,28.73282,77.170633
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,412,µg/m³,28.647622,77.315809
5570,"Aya Nagar, Delhi - IMD",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,213.63,µg/m³,28.4706914,77.1099364
5627,"CRRI Mathura Road, Delhi - IMD",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,402.93,µg/m³,28.5512005,77.2735737
5634,"Lodhi Road, Delhi - IMD",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,315.43,µg/m³,28.5918245,77.2273074
8472,"Bawana, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,383,µg/m³,28.7762,77.051074
5586,"Sirifort, Delhi - CPCB",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,313,µg/m³,28.5504249,77.2159377
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,345,µg/m³,28.58028,77.233829
6938,"Vivek Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,583,µg/m³,28.672342,77.31526
5650,"IGI Airport (T3), Delhi - IMD",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,198.54,µg/m³,28.5627763,77.1180053
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,335,µg/m³,28.498571,77.26484
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,374,µg/m³,28.611281,77.237738
10485,"Narela, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,512,µg/m³,28.822836,77.101981
10484,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,335,µg/m³,28.531346,77.190156
8475,"Sonia Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,554,µg/m³,28.710508,77.249485
8915,"Wazirpur, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,528,µg/m³,28.699793,77.165453
