locationId,value,latitude,longitude,date,time
5541,363.4,28.7256504,77.2011573,2021-11-06,20:15:00
5630,253.6,28.6514781,77.1473105,2021-11-06,20:00:00
5610,480.67,28.6573814,77.1585447,2021-11-06,20:00:00
6358,427.0,28.636429,77.201067,2021-11-06,20:00:00
10488,316.0,28.570173,76.933762,2021-11-06,20:00:00
8915,487.0,28.699793,77.165453,2021-11-06,19:45:00
10486,393.0,28.684678,77.076574,2021-11-06,19:45:00
6356,347.06,28.639645,77.146262,2021-11-06,19:45:00
11603,338.8,28.656756,77.227234,2021-11-06,19:45:00
8239,370.0,28.530785,77.271255,2021-11-06,19:45:00
10485,471.0,28.822836,77.101981,2021-11-06,19:45:00
10484,337.0,28.531346,77.190156,2021-11-06,19:45:00
6932,503.0,28.815329,77.15301,2021-11-06,19:45:00
8475,483.0,28.710508,77.249485,2021-11-06,19:45:00
6938,488.0,28.672342,77.31526,2021-11-06,19:45:00
5622,253.6,28.60909,77.0325413,2021-11-06,19:45:00
10831,466.0,28.732528,77.11992,2021-11-06,19:45:00
6359,359.8,28.6811736,77.3025234,2021-11-06,19:45:00
5586,333.0,28.5504249,77.2159377,2021-11-06,19:45:00
5634,367.7,28.5918245,77.2273074,2021-11-06,19:45:00
5626,341.8,28.7500499,77.1112615,2021-11-06,19:45:00
10488,316.0,28.570173,76.933762,2021-11-06,19:45:00
8917,480.0,28.695381,77.181665,2021-11-06,19:45:00
6931,382.0,28.5710274,77.0719006,2021-11-06,19:45:00
5541,290.83,28.7256504,77.2011573,2021-11-06,19:45:00
11607,1074.3,28.588333,77.221667,2021-11-06,19:45:00
6957,410.0,28.58028,77.233829,2021-11-06,19:45:00
5509,416.0,28.647622,77.315809,2021-11-06,19:45:00
6960,455.0,28.623763,77.287209,2021-11-06,19:45:00
6929,450.0,28.611281,77.237738,2021-11-06,19:45:00
10489,481.0,28.628624,77.24106,2021-11-06,19:45:00
6934,390.0,28.498571,77.26484,2021-11-06,19:45:00
8472,470.0,28.7762,77.051074,2021-11-06,19:45:00
6358,427.0,28.636429,77.201067,2021-11-06,19:30:00
5622,253.6,28.60909,77.0325413,2021-11-06,19:30:00
6357,403.0,28.674045,77.131023,2021-11-06,19:30:00
7044,106.0,28.563262,77.186937,2021-11-06,19:30:00
5610,446.12,28.6573814,77.1585447,2021-11-06,19:30:00
5630,256.1,28.6514781,77.1473105,2021-11-06,19:30:00
8472,470.0,28.7762,77.051074,2021-11-06,19:15:00
6934,390.0,28.498571,77.26484,2021-11-06,19:15:00
5509,416.0,28.647622,77.315809,2021-11-06,19:15:00
10488,351.0,28.570173,76.933762,2021-11-06,19:15:00
8235,506.0,28.73282,77.170633,2021-11-06,19:15:00
5586,345.0,28.5504249,77.2159377,2021-11-06,19:15:00
6938,488.0,28.672342,77.31526,2021-11-06,19:15:00
6932,464.0,28.815329,77.15301,2021-11-06,19:15:00
6929,450.0,28.611281,77.237738,2021-11-06,19:15:00
10831,466.0,28.732528,77.11992,2021-11-06,19:15:00
11603,331.6,28.656756,77.227234,2021-11-06,19:15:00
